AOI,DATE_DOWNLOADED,FINAL_TABLE,INDICATOR_CATEGORY,METADATA,METRIC_DESCRIPTION,METRIC_NAME,METRIC_UNITS,SOURCE_NAME,SOURCE_URL,UUID,WEBTOOL_NAME,YEAR
"Cat, Ws",,"AgriculturalNitrogen","Base","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=799414E7-AE12-4785-B444-7786AE9D6487","Mean rate of biological nitrogen fixation from the cultivation of crops in kg N/ha/yr, within AOI","CBNF[AOI]","mean rate kilogram Nitrogen/hectare/year","EnviroAtlas","http://enviroatlas.epa.gov/enviroatlas/Datafactsheets/pdf/ESN/CultivatedBiologicalNitrogenFixation.pdf","799414E7-AE12-4785-B444-7786AE9D6489","Cultivated Biological Nitrogen Fixation Mean Rate",
"Cat, Ws",,"AgriculturalNitrogen","Anthropogenic","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=799414E7-AE12-4785-B444-7786AE9D6488","Mean rate of manure application to agricultural land from confined animal feeding operations in kg N/ha/yr, within AOI","Manure[AOI]","mean rate kilogram Nitrogen/hectare/year","EnviroAtlas","http://enviroatlas.epa.gov/EnviroAtlas/DataFactSheets/pdf/ESN/ManureApplication.pdf","799414E7-AE12-4785-B444-7786AE9D6489","Mean Manure Application Rate",
"Cat, Ws",,"AgriculturalNitrogen","Anthropogenic","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=799414E7-AE12-4785-B444-7786AE9D6489","Mean rate of synthetic nitrogen fertilizer application to agricultural land in kg N/ha/yr, within the AOI","Fert[AOI]","mean rate kilogram Nitrogen/hectare/year","EnviroAtlas","https://enviroatlas.epa.gov/enviroatlas/DataFactSheets/pdf/ESN/Syntheticnitrogenfertilizerapplication.pdf","799414E7-AE12-4785-B444-7786AE9D6489","Synthetic Nitrogen Fertilizer Application Mean Rate",
"Cat, Ws",,"BFI","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=F50445F4-99B8-46E7-BF1B-A75D3320E52A","Base flow is the component of streamflow that can be attributed to ground-water discharge into streams. The BFI is the ratio of base flow to total flow, expressed as a percentage, within AOI","BFI[AOI]","Percent","USGS Water Mission Area","http://water.usgs.gov/GIS/metadata/usgswrd/XML/bfi48grd.xml","F50445F4-99B8-46E7-BF1B-A75D3320E52A","Base Flow Index",
"Cat, Ws",,"CanalDensity","Anthropogenic","https://edg.epa.gov/metadata/rest/document?id=e0398045-0643-492e-960c-d882b6519585","Density of NHDPlus line features classified as canal, ditch, or pipeline within the AOI (km/ square km)","CanalDens[AOI]","Kilometers / Square Kilometer","Falcone et al. 2010","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/09-0889.1","e0398045-0643-492e-960c-d882b6519585","Canal Density    ",
"Cat, Ws",,"CoalMines","Anthropogenic","https://edg.epa.gov/metadata/rest/document?id=a440e12b-9875-4b88-b7af-f095c79f891b","Density of coal mines sites within AOI (mines/square km)","CoalMineDens[AOI]","sites/square kilometer","USGS NCRDS","(NCRDS) https://energy.usgs.gov/Tools/NationalCoalResourcesDataSystem.aspx; (NHDPlus) http://www.horizon-systems.com/NHDPlus/NHDPlusV2_data.php","a440e12b-9875-4b88-b7af-f095c79f891b","Coal Mine Density",
"Cat, Ws",,"Dams","Anthropogenic","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=52F2F469-AC5D-40B9-B1FD-0DFD8AC53B47","Density of georeferenced dams within AOI (dams/ square km)","DamDens[AOI]","dams/km2","USGS NAWQA","ftp://ftpext.usgs.gov/pub/er/va/reston/NAWQA_ENS/GIS_DATA/dams/","52F2F469-AC5D-40B9-B1FD-0DFD8AC53B47","Dam Density",
"Cat, Ws",,"Dams","Anthropogenic","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=52F2F469-AC5D-40B9-B1FD-0DFD8AC53B49","Volume all reservoirs (NORM_STORA in NID) per unit area of AOI (cubic meters/square km)","DamNrmStor[AOI]","cubic meters/square kilometer","USGS NAWQA","ftp://ftpext.usgs.gov/pub/er/va/reston/NAWQA_ENS/GIS_DATA/dams/","52F2F469-AC5D-40B9-B1FD-0DFD8AC53B47","Dam Resevoir Normal Volume",
"Cat, Ws",,"Dams","Anthropogenic","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=52F2F469-AC5D-40B9-B1FD-0DFD8AC53B48","Volume all reservoirs (NID_STORA in NID) per unit area of AOI (cubic meters/square km)","DamNIDStor[AOI]","cubic meters/square kilometer","USGS NAWQA","ftp://ftpext.usgs.gov/pub/er/va/reston/NAWQA_ENS/GIS_DATA/dams/","52F2F469-AC5D-40B9-B1FD-0DFD8AC53B47","Dam Resevoir NID Volume",
"Cat, Ws",,"Elevation","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=FD387D2B-CCD3-4D17-ACDE-A9A8426CA1CA","Mean AOI elevation (m)","Elev[AOI]","Meters","NHDPlusV2","http://www.horizon-systems.com/NHDPlus/NHDPlusV2_home.php","FD387D2B-CCD3-4D17-ACDE-A9A8426CA1CA","Mean Elevation",
"Cat, Ws",,"EPA_FRS","Anthropogenic","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=AEC40436-E5D1-4AD9-BFF4-0654966EC3BF","Density of permitted NPDES (National Pollutant Discharge Elimination System) sites within AOI (sites/square km)","NPDESDens[AOI]","sites/square kilometer","EPA FRS","https://www.epa.gov/frs/geospatial-data-download-service","AEC40436-E5D1-4AD9-BFF4-0654966EC3BF","NPDES Site Density",
"Cat, Ws",,"EPA_FRS","Anthropogenic","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=AEC40436-E5D1-4AD9-BFF4-0654966EC3BF","Density of TRI (Toxic Release Inventory) sites within AOI (sites/square km)","TRIDens[AOI]","sites/square kilometer","EPA FRS","https://www.epa.gov/frs/geospatial-data-download-service","AEC40436-E5D1-4AD9-BFF4-0654966EC3BF","Toxic Release Inventory Site",
"Cat, Ws",,"EPA_FRS","Anthropogenic","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=AEC40436-E5D1-4AD9-BFF4-0654966EC3BF","Density of Superfund sites within AOI (sites/square km)","SuperfundDens[AOI]","sites/square kilometer","EPA FRS","https://www.epa.gov/frs/geospatial-data-download-service","AEC40436-E5D1-4AD9-BFF4-0654966EC3BF","Superfund Site Density",
"Cat, Ws",,"FirePerimeters","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=7988E3BC-FD77-47F6-B098-77A686C55B7F","% Forest loss to fire (fire perimeter) within AOI","PctFire[Year][AOI]","Percent","USGS","https://data-nifc.opendata.arcgis.com/","7988E3BC-FD77-47F6-B098-77A686C55B7F","Forest Fire Loss","2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010"
"Cat, Ws",,"ForestLoss","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=F8BED808-A2F6-4F47-AB21-4E3C37F6D9C4","% Forest cover loss (Tree canopy cover change) within AOI","PctFrstLoss[Year][AOI]","Percent","University of Maryland","http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.1.html","F8BED808-A2F6-4F47-AB21-4E3C37F6D9C4","Forest Loss","2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013"
